胫骨时间(ms),胫骨偏移(mm),股骨远端时间(ms),股骨远端偏移(mm),股骨前侧时间(ms),股骨前侧偏移(mm),股骨后侧时间(ms),股骨后侧偏移(mm),股骨后斜时间(ms),股骨后斜偏移(mm),股骨前斜时间(ms),股骨前斜偏移(mm)
22,0.095,60,-0.897,56,-0.025,45,-0.261,28,-0.488,20,0.317
129,0.201,152,-0.404,155,-0.247,130,0.588,128,0.56,112,-0.264
229,0.561,249,-0.781,249,-0.971,230,0.84,228,0.499,212,-0.327
329,0.609,332,-0.608,346,-1.27,314,0.804,328,0.708,312,-0.601
429,0.69,432,-0.625,448,-0.475,414,0.926,428,0.686,412,-0.64
529,0.955,532,-0.786,548,-3.237,498,0.87,529,0.671,512,-0.459
611,0.897,615,-0.169,648,-0.509,598,0.808,628,0.657,596,-0.292
712,1.196,715,0.257,731,0.37,704,0.58,725,0.97,696,0.104
794,0.6,815,0.577,831,0.036,788,0.18,823,0.99,796,-0.077
894,-0.014,915,0.305,931,0.28,888,-0.508,912,1.452,879,-0.39
994,0.061,1015,0.065,1015,0.198,988,-0.526,994,0.457,979,-0.432
1094,-0.084,1115,-0.374,1115,0.149,1088,-0.613,1084,0.01,1062,-0.285
1194,-0.074,1215,-0.548,1215,0.069,1188,-0.582,1193,-0.29,1162,0.189
1294,0.125,1315,-0.68,1315,-0.06,1288,-0.677,1293,-0.698,1262,0.237
1394,0.471,1415,-0.572,1415,-0.153,1388,-0.579,1377,-0.852,1362,0.023
1494,0.374,1515,-0.497,1515,-0.233,1488,-0.106,1477,-0.911,1462,-0.344
1594,0.566,1615,-0.545,1615,-0.387,1588,0.671,1577,-1.081,1562,-0.121
1694,0.49,1715,-0.632,1715,-0.478,1688,0.686,1675,0.6,1662,-0.158
1794,0.627,1815,-0.54,1815,-0.5,1788,0.46,1759,0.505,1762,-0.455
1894,0.626,1915,-0.342,1915,-0.377,1888,0.195,1858,0.465,1862,-0.59
1994,0.188,2015,-0.491,2015,-0.378,1971,0.329,1941,0.288,1962,-0.592
2094,0.258,2115,-0.443,2098,-0.294,2071,0.148,2041,0.139,2062,-0.575
2194,0.207,2215,-0.491,2198,-0.376,2171,-0.047,2141,-0.014,2162,-0.647
2294,0.132,2315,-0.605,2298,-0.308,2271,-0.066,2241,-0.118,2262,-0.654
2394,0.142,2415,-0.672,2398,-0.117,2371,-0.18,2341,-0.22,2362,-0.763
2494,0.076,2515,-0.666,2498,-0.251,2471,-0.288,2441,-0.24,2462,-0.781
2594,0.469,2615,-0.714,2598,-0.375,2571,-0.389,2541,-0.271,2562,-0.747
2694,0.294,2715,-0.561,2698,-0.457,2654,-0.347,2641,-0.497,2662,-0.68
2794,0.358,2815,-0.859,2798,-0.356,2754,-0.348,2741,-0.532,2762,-0.59
2894,0.163,2915,-0.812,2898,-0.369,2854,-0.342,2841,-0.469,2862,-0.592
2994,0.195,3015,-0.713,2998,-0.382,2954,-0.359,2941,-0.559,2962,-0.829
3077,0.347,3115,-0.691,3098,-0.346,3038,-0.359,3041,-0.658,3062,-0.561
3177,0.489,3215,-0.666,3198,-0.342,3138,-0.136,3141,-0.548,3162,-0.464
3277,0.526,3298,-0.666,3298,-0.312,3238,-0.154,3241,-0.722,3262,-0.512
3360,0.538,3398,-0.791,3398,-0.473,3321,-0.253,3341,-0.662,3362,-0.614
3460,0.602,3498,-0.642,3498,-0.379,3421,-0.255,3441,-0.666,3462,-0.666
3544,0.561,3598,-0.705,3581,-0.014,3504,-0.401,3541,-0.549,3562,-0.654
3644,0.677,3698,-0.741,3681,-0.136,3604,-0.294,3641,-0.537,3662,-0.637
3744,0.428,3798,-0.748,3781,-0.114,3704,-0.207,3741,-0.535,3762,-0.594
3844,0.41,3898,-0.804,3882,-0.295,3804,-0.148,3841,-0.383,3862,-0.602
3944,0.639,3982,-0.954,3981,-0.107,3904,-0.073,3941,-0.557,3962,-0.515
4027,0.859,4065,-1.048,4081,-0.172,4005,-0.112,4041,-0.803,4063,-0.646
4127,0.831,4133,-0.914,4182,-0.025,4104,-0.177,4142,-1.011,4162,-0.753
4227,0.81,4242,-0.669,4281,-0.064,4204,-0.076,4212,-0.684,4262,-0.605
4327,0.383,4342,-0.442,4381,-0.402,4305,-0.09,4311,0.001,4362,-0.643
4427,0.612,4442,0.105,4481,-1.15,4404,0.084,4411,0.512,4462,-0.66
4527,0.709,4525,-0.263,4585,-0.547,4504,0.087,4511,0.358,4546,-0.511
4627,0.747,4625,-0.245,4683,-0.856,4605,0.15,4611,0.392,4646,-0.596
4727,0.822,4725,-0.261,4783,-0.77,4704,0.234,4712,0.434,4746,-0.609
4827,0.656,4825,-0.273,4884,-0.781,4804,0.453,4811,0.334,4846,-0.527
4927,0.607,4925,-0.191,4983,-0.9,4904,0.548,4911,0.334,4946,-0.389
5027,0.513,5025,-0.167,5058,-0.829,5004,0.346,5011,0.448,5046,-0.434
5127,0.624,5125,-0.264,5151,-0.023,5105,0.452,5111,0.601,5146,-0.487
5227,0.847,5209,-0.226,5251,0.118,5204,0.5,5211,0.571,5246,-0.532
5327,0.825,5308,-0.476,5334,-0.248,5304,0.618,5312,1.076,5346,-0.685
5427,0.737,5408,-0.522,5434,-0.869,5405,0.372,5393,0.673,5446,-0.652
5527,0.56,5508,-0.4,5516,-0.185,5504,0.626,5493,0.558,5546,-0.482
5627,0.437,5608,-0.421,5616,0.594,5604,0.244,5593,0.364,5646,-0.469
5727,0.484,5708,-0.468,5698,0.954,5704,0.129,5676,0.379,5729,-0.478
5827,0.361,5808,-0.506,5797,0.596,5804,-0.264,5776,0.383,5813,-0.843
5927,0.607,5908,-0.659,5881,0.123,5904,-0.206,5876,0.422,5913,-0.639
6027,0.576,6008,-0.53,5981,-0.057,6004,-0.393,5976,0.403,6013,-0.444
6127,0.425,6108,-0.406,6081,-0.11,6105,-0.35,6076,0.484,6097,-0.527
6227,0.426,6208,-0.461,6164,-0.102,6204,-0.355,6176,0.95,6197,-0.477
