2023-12-15 10:53:48.655 [INFO]:1904	[main]:157	[U] 
----------------------- spexpert knee start ------------------
2023-12-15 10:53:48.656 [DEBUG]:1904	[datamanager]:979	initialize DataManager
2023-12-15 10:53:48.674 [DEBUG]:1904	[prosthesislib]:140	Prothesis brands name= "D:/sys/knee\\prosthesis\\Prothesis.brands"
2023-12-15 10:53:48.685 [DEBUG]:1904	[config]:51	****config version**** "V1.0"
2023-12-15 10:53:48.685 [DEBUG]:1904	[context]:113	Features/cutArmMoveTest =  false  nValue =  0
2023-12-15 10:53:48.685 [DEBUG]:1904	[context]:106	Features/cutPreCalibrationMode =  1  nValue =  1
2023-12-15 10:53:48.686 [INFO]:1904	[context]:30	=====file version===== software: 2.0.4.989   required robot version: 1.68.1.17
2023-12-15 10:53:48.686 [INFO]:1904	[context]:31	build information: |231024|develop-68tka-2000#19|r:fe90d5ee
2023-12-15 10:53:48.686 [INFO]:1904	[context]:32	product version: 2.0.4.0
2023-12-15 10:53:48.691 [DEBUG]:1904	[dbmanager]:90	MySQL service started successfully.
2023-12-15 10:53:48.715 [INFO]:1904	[dbmanager]:169	connect DB successfully
2023-12-15 10:53:48.719 [DEBUG]:1904	[mysql_interface]:39	open database dbknee successfully
2023-12-15 10:53:48.800 [INFO]:1904	[CommonDBHandler]:102	connect commdb successfully.
2023-12-15 10:53:49.386 [INFO]:1904	[initializer]:187	application start play the sounded file =  QUrl("file:///D:/sys/knee/res/sound/genlow.wav")
2023-12-15 10:54:02.667 [DEBUG]:1904	[datamanager]:200	RS485.isRS485 =  1
2023-12-15 10:54:02.667 [DEBUG]:1904	[datamanager]:182	Features/model =  "6800"
2023-12-15 10:54:02.667 [INFO]:1904	[DeviceManager]:95	init series port on 6800
2023-12-15 10:54:02.880 [INFO]:1904	[mainwindow]:538	[U] module changed to 37 "机械臂刹车检测" ArmBrakeWidget
2023-12-15 10:54:02.880 [INFO]:1904	[mainwindow]:203	Application run mode is consumer mode
2023-12-15 10:54:02.880 [INFO]:1904	[datamanager]:169	idle lock screen minute time =  30
2023-12-15 10:54:02.885 [DEBUG]:1904	[navigator]:100	Navigator constructor
2023-12-15 10:54:02.886 [DEBUG]:1904	[datamanager]:156	RS485/port is  "COM2"
2023-12-15 10:54:02.888 [DEBUG]:1904	[FirmwareProtocal]:31	strPort= "COM2"  bInitFlag= true
2023-12-15 10:54:02.888 [INFO]:1904	[FirmwareProtocal]:64	electrical log settings: logRotateNum= 100 logIntervalMs= 500
2023-12-15 10:54:02.888 [INFO]:1904	[logservice]:70	LogWorker starts and uses file "D:/sys/knee/log/electrical.2023-12-15.10-54-02.log"
2023-12-15 10:54:02.889 [DEBUG]:1904	[CommunicationModule]:75	tcp server init
2023-12-15 10:54:02.889 [DEBUG]:880	[CommunicationModule]:581	send thread run! 
